language,input_file,pass@1,pass@10,pass@100
go,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen2.5_base2/humaneval_cpp_to_go.jsonl,0.274390,,
java,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen2.5_base2/humaneval_cpp_to_java.jsonl,0.396341,,
js,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen2.5_base2/humaneval_cpp_to_js.jsonl,0.457317,,
python,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen2.5_base2/humaneval_cpp_to_python.jsonl,0.469512,,
rust,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen2.5_base2/humaneval_cpp_to_rust.jsonl,0.280488,,
cpp,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen2.5_base2/humaneval_go_to_cpp.jsonl,0.329268,,
java,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen2.5_base2/humaneval_go_to_java.jsonl,0.402439,,
js,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen2.5_base2/humaneval_go_to_js.jsonl,0.500000,,
python,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen2.5_base2/humaneval_go_to_python.jsonl,0.621951,,
rust,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen2.5_base2/humaneval_go_to_rust.jsonl,0.353659,,
cpp,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen2.5_base2/humaneval_java_to_cpp.jsonl,0.280488,,
go,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen2.5_base2/humaneval_java_to_go.jsonl,0.317073,,
js,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen2.5_base2/humaneval_java_to_js.jsonl,0.481707,,
python,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen2.5_base2/humaneval_java_to_python.jsonl,0.585366,,
rust,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen2.5_base2/humaneval_java_to_rust.jsonl,0.402439,,
cpp,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen2.5_base2/humaneval_js_to_cpp.jsonl,0.353659,,
go,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen2.5_base2/humaneval_js_to_go.jsonl,0.402439,,
java,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen2.5_base2/humaneval_js_to_java.jsonl,0.445122,,
python,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen2.5_base2/humaneval_js_to_python.jsonl,0.573171,,
rust,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen2.5_base2/humaneval_js_to_rust.jsonl,0.359756,,
cpp,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen2.5_base2/humaneval_python_to_cpp.jsonl,0.292683,,
go,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen2.5_base2/humaneval_python_to_go.jsonl,0.359756,,
java,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen2.5_base2/humaneval_python_to_java.jsonl,0.390244,,
js,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen2.5_base2/humaneval_python_to_js.jsonl,0.518293,,
rust,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen2.5_base2/humaneval_python_to_rust.jsonl,0.371951,,
cpp,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen2.5_base2/humaneval_rust_to_cpp.jsonl,0.292683,,
go,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen2.5_base2/humaneval_rust_to_go.jsonl,0.371951,,
java,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen2.5_base2/humaneval_rust_to_java.jsonl,0.445122,,
js,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen2.5_base2/humaneval_rust_to_js.jsonl,0.335366,,
python,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen2.5_base2/humaneval_rust_to_python.jsonl,0.573171,,
