language,input_file,pass@1,pass@10,pass@100
go,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen2.5_base/humaneval_cpp_to_go.jsonl,0.219512,,
java,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen2.5_base/humaneval_cpp_to_java.jsonl,0.317073,,
js,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen2.5_base/humaneval_cpp_to_js.jsonl,0.341463,,
python,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen2.5_base/humaneval_cpp_to_python.jsonl,0.371951,,
rust,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen2.5_base/humaneval_cpp_to_rust.jsonl,0.250000,,
cpp,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen2.5_base/humaneval_go_to_cpp.jsonl,0.256098,,
java,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen2.5_base/humaneval_go_to_java.jsonl,0.432927,,
js,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen2.5_base/humaneval_go_to_js.jsonl,0.469512,,
python,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen2.5_base/humaneval_go_to_python.jsonl,0.603659,,
rust,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen2.5_base/humaneval_go_to_rust.jsonl,0.329268,,
cpp,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen2.5_base/humaneval_java_to_cpp.jsonl,0.213415,,
go,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen2.5_base/humaneval_java_to_go.jsonl,0.335366,,
js,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen2.5_base/humaneval_java_to_js.jsonl,0.439024,,
python,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen2.5_base/humaneval_java_to_python.jsonl,0.536585,,
rust,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen2.5_base/humaneval_java_to_rust.jsonl,0.225610,,
cpp,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen2.5_base/humaneval_js_to_cpp.jsonl,0.298780,,
go,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen2.5_base/humaneval_js_to_go.jsonl,0.359756,,
java,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen2.5_base/humaneval_js_to_java.jsonl,0.396341,,
python,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen2.5_base/humaneval_js_to_python.jsonl,0.597561,,
rust,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen2.5_base/humaneval_js_to_rust.jsonl,0.274390,,
cpp,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen2.5_base/humaneval_python_to_cpp.jsonl,0.231707,,
go,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen2.5_base/humaneval_python_to_go.jsonl,0.335366,,
java,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen2.5_base/humaneval_python_to_java.jsonl,0.414634,,
js,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen2.5_base/humaneval_python_to_js.jsonl,0.445122,,
rust,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen2.5_base/humaneval_python_to_rust.jsonl,0.298780,,
cpp,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen2.5_base/humaneval_rust_to_cpp.jsonl,0.231707,,
go,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen2.5_base/humaneval_rust_to_go.jsonl,0.359756,,
java,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen2.5_base/humaneval_rust_to_java.jsonl,0.408537,,
js,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen2.5_base/humaneval_rust_to_js.jsonl,0.365854,,
python,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen2.5_base/humaneval_rust_to_python.jsonl,0.457317,,
