language,input_file,pass@1,pass@1_se,pass@5,pass@5_se,pass@10,pass@10_se,pass@100,pass@100_se
go,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_9B/humaneval_cpp_to_go.jsonl,0.707317,0.008405,0.859756,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_9B/humaneval_cpp_to_java.jsonl,0.868293,0.004563,0.920732,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_9B/humaneval_cpp_to_js.jsonl,0.839024,0.006844,0.908537,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_9B/humaneval_cpp_to_python.jsonl,0.806098,0.005245,0.878049,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_9B/humaneval_cpp_to_rust.jsonl,0.457317,0.026156,0.780488,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_9B/humaneval_go_to_cpp.jsonl,0.653659,0.008043,0.786585,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_9B/humaneval_go_to_java.jsonl,0.781707,0.008709,0.890244,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_9B/humaneval_go_to_js.jsonl,0.912195,0.006844,0.969512,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_9B/humaneval_go_to_python.jsonl,0.868293,0.010491,0.969512,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_9B/humaneval_go_to_rust.jsonl,0.440244,0.024497,0.719512,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_9B/humaneval_java_to_cpp.jsonl,0.753659,0.008089,0.878049,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_9B/humaneval_java_to_go.jsonl,0.691463,0.011824,0.829268,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_9B/humaneval_java_to_js.jsonl,0.876829,0.005245,0.957317,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_9B/humaneval_java_to_python.jsonl,0.896341,0.008181,0.939024,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_9B/humaneval_java_to_rust.jsonl,0.482927,0.006510,0.786585,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_9B/humaneval_js_to_cpp.jsonl,0.702439,0.007317,0.871951,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_9B/humaneval_js_to_go.jsonl,0.717073,0.006278,0.896341,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_9B/humaneval_js_to_java.jsonl,0.820732,0.015498,0.914634,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_9B/humaneval_js_to_python.jsonl,0.884146,0.007468,0.926829,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_9B/humaneval_js_to_rust.jsonl,0.457317,0.012644,0.731707,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_9B/humaneval_python_to_cpp.jsonl,0.647561,0.012992,0.835366,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_9B/humaneval_python_to_go.jsonl,0.574390,0.005245,0.774390,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_9B/humaneval_python_to_java.jsonl,0.793902,0.012256,0.871951,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_9B/humaneval_python_to_js.jsonl,0.851220,0.004563,0.920732,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_9B/humaneval_python_to_rust.jsonl,0.474390,0.013135,0.756098,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen3.5_9B/humaneval_rust_to_cpp.jsonl,0.800000,0.002281,0.920732,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen3.5_9B/humaneval_rust_to_go.jsonl,0.617073,0.009907,0.798780,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen3.5_9B/humaneval_rust_to_java.jsonl,0.789024,0.005316,0.890244,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen3.5_9B/humaneval_rust_to_js.jsonl,0.754878,0.014091,0.859756,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen3.5_9B/humaneval_rust_to_python.jsonl,0.828049,0.006218,0.878049,0.000000,,,,
total,ALL,0.724919,0.001352,0.864024,0.000000,,,,
