language,input_file,pass@1,pass@1_se,pass@5,pass@5_se,pass@10,pass@10_se,pass@100,pass@100_se
go,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_grpo_reward35b_think_100/humaneval_cpp_to_go.jsonl,0.571951,0.008920,0.737805,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_grpo_reward35b_think_100/humaneval_cpp_to_java.jsonl,0.845122,0.005655,0.884146,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_grpo_reward35b_think_100/humaneval_cpp_to_js.jsonl,0.796341,0.007111,0.853659,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_grpo_reward35b_think_100/humaneval_cpp_to_python.jsonl,0.812195,0.003555,0.853659,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_grpo_reward35b_think_100/humaneval_cpp_to_rust.jsonl,0.445122,0.017030,0.804878,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_grpo_reward35b_think_100/humaneval_go_to_cpp.jsonl,0.729268,0.004954,0.835366,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_grpo_reward35b_think_100/humaneval_go_to_java.jsonl,0.800000,0.005589,0.859756,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_grpo_reward35b_think_100/humaneval_go_to_js.jsonl,0.873171,0.008043,0.939024,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_grpo_reward35b_think_100/humaneval_go_to_python.jsonl,0.880488,0.005655,0.926829,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_grpo_reward35b_think_100/humaneval_go_to_rust.jsonl,0.396341,0.015305,0.737805,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_grpo_reward35b_think_100/humaneval_java_to_cpp.jsonl,0.758537,0.005655,0.829268,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_grpo_reward35b_think_100/humaneval_java_to_go.jsonl,0.640244,0.010908,0.810976,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_grpo_reward35b_think_100/humaneval_java_to_js.jsonl,0.923171,0.004563,0.957317,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_grpo_reward35b_think_100/humaneval_java_to_python.jsonl,0.879268,0.006218,0.914634,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_grpo_reward35b_think_100/humaneval_java_to_rust.jsonl,0.415854,0.012407,0.701220,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_grpo_reward35b_think_100/humaneval_js_to_cpp.jsonl,0.757317,0.002281,0.810976,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_grpo_reward35b_think_100/humaneval_js_to_go.jsonl,0.667073,0.009564,0.810976,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_grpo_reward35b_think_100/humaneval_js_to_java.jsonl,0.839024,0.006844,0.908537,0.000000,,,,
