language,input_file,pass@1,pass@1_se,pass@5,pass@5_se,pass@10,pass@10_se,pass@100,pass@100_se
go,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_drgrpo_reward30b_194/humaneval_cpp_to_go.jsonl,0.556098,0.012103,0.750000,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_drgrpo_reward30b_194/humaneval_cpp_to_java.jsonl,0.841463,0.005785,0.920732,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_drgrpo_reward30b_194/humaneval_cpp_to_js.jsonl,0.801220,0.003659,0.865854,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_drgrpo_reward30b_194/humaneval_cpp_to_python.jsonl,0.781707,0.005245,0.835366,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_drgrpo_reward30b_194/humaneval_cpp_to_rust.jsonl,0.447561,0.019436,0.725610,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_drgrpo_reward30b_194/humaneval_go_to_cpp.jsonl,0.754878,0.009525,0.853659,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_drgrpo_reward30b_194/humaneval_go_to_java.jsonl,0.762195,0.007713,0.823171,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_drgrpo_reward30b_194/humaneval_go_to_js.jsonl,0.865854,0.008181,0.926829,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_drgrpo_reward30b_194/humaneval_go_to_python.jsonl,0.875610,0.010491,0.945122,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_drgrpo_reward30b_194/humaneval_go_to_rust.jsonl,0.408537,0.007950,0.725610,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_drgrpo_reward30b_194/humaneval_java_to_cpp.jsonl,0.759756,0.004954,0.835366,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_drgrpo_reward30b_194/humaneval_java_to_go.jsonl,0.604878,0.004045,0.756098,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_drgrpo_reward30b_194/humaneval_java_to_js.jsonl,0.918293,0.003109,0.951220,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_drgrpo_reward30b_194/humaneval_java_to_python.jsonl,0.867073,0.005245,0.914634,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_drgrpo_reward30b_194/humaneval_java_to_rust.jsonl,0.458537,0.012103,0.750000,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_drgrpo_reward30b_194/humaneval_js_to_cpp.jsonl,0.797561,0.008043,0.884146,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_drgrpo_reward30b_194/humaneval_js_to_go.jsonl,0.654878,0.011177,0.804878,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_drgrpo_reward30b_194/humaneval_js_to_java.jsonl,0.839024,0.007616,0.908537,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_drgrpo_reward30b_194/humaneval_js_to_python.jsonl,0.870732,0.008043,0.926829,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_drgrpo_reward30b_194/humaneval_js_to_rust.jsonl,0.462195,0.013275,0.731707,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_drgrpo_reward30b_194/humaneval_python_to_cpp.jsonl,0.706098,0.004045,0.835366,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_drgrpo_reward30b_194/humaneval_python_to_go.jsonl,0.524390,0.009832,0.670732,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_drgrpo_reward30b_194/humaneval_python_to_java.jsonl,0.778049,0.003659,0.847561,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_drgrpo_reward30b_194/humaneval_python_to_js.jsonl,0.835366,0.004723,0.932927,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_qwen3.5_drgrpo_reward30b_194/humaneval_python_to_rust.jsonl,0.445122,0.012195,0.689024,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen3.5_drgrpo_reward30b_194/humaneval_rust_to_cpp.jsonl,0.790244,0.005974,0.865854,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen3.5_drgrpo_reward30b_194/humaneval_rust_to_go.jsonl,0.532927,0.012437,0.689024,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen3.5_drgrpo_reward30b_194/humaneval_rust_to_java.jsonl,0.768293,0.004312,0.853659,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen3.5_drgrpo_reward30b_194/humaneval_rust_to_js.jsonl,0.759756,0.004136,0.841463,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_qwen3.5_drgrpo_reward30b_194/humaneval_rust_to_python.jsonl,0.775610,0.008043,0.847561,0.000000,,,,
total,ALL,0.708130,0.001297,0.830285,0.000000,,,,
