language,input_file,pass@1,pass@1_se,pass@5,pass@5_se,pass@10,pass@10_se,pass@100,pass@100_se
go,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_9B_drgrpo_reward35b_nothink_100/humaneval_cpp_to_go.jsonl,0.709756,0.012732,0.817073,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_9B_drgrpo_reward35b_nothink_100/humaneval_cpp_to_java.jsonl,0.875610,0.007856,0.926829,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_9B_drgrpo_reward35b_nothink_100/humaneval_cpp_to_js.jsonl,0.873171,0.004878,0.902439,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_9B_drgrpo_reward35b_nothink_100/humaneval_cpp_to_python.jsonl,0.826829,0.009756,0.890244,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_9B_drgrpo_reward35b_nothink_100/humaneval_cpp_to_rust.jsonl,0.442683,0.016542,0.756098,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_9B_drgrpo_reward35b_nothink_100/humaneval_go_to_cpp.jsonl,0.689024,0.007468,0.841463,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_9B_drgrpo_reward35b_nothink_100/humaneval_go_to_java.jsonl,0.781707,0.010455,0.890244,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_9B_drgrpo_reward35b_nothink_100/humaneval_go_to_js.jsonl,0.910976,0.005655,0.969512,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_9B_drgrpo_reward35b_nothink_100/humaneval_go_to_python.jsonl,0.878049,0.008623,0.963415,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_9B_drgrpo_reward35b_nothink_100/humaneval_go_to_rust.jsonl,0.423171,0.023584,0.743902,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_9B_drgrpo_reward35b_nothink_100/humaneval_java_to_cpp.jsonl,0.754878,0.009327,0.890244,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_9B_drgrpo_reward35b_nothink_100/humaneval_java_to_go.jsonl,0.735366,0.009167,0.865854,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_9B_drgrpo_reward35b_nothink_100/humaneval_java_to_js.jsonl,0.915854,0.005912,0.957317,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_9B_drgrpo_reward35b_nothink_100/humaneval_java_to_python.jsonl,0.892683,0.004954,0.932927,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_9B_drgrpo_reward35b_nothink_100/humaneval_java_to_rust.jsonl,0.442683,0.023187,0.817073,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_9B_drgrpo_reward35b_nothink_100/humaneval_js_to_cpp.jsonl,0.762195,0.003340,0.908537,0.000000,,,,
