language,input_file,pass@1,pass@10,pass@100
go,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_base/humaneval_cpp_to_go.jsonl,0.628659,0.835073,
java,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_base/humaneval_cpp_to_java.jsonl,0.253963,0.633360,
js,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_base/humaneval_cpp_to_js.jsonl,0.680793,0.875988,
python,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_base/humaneval_cpp_to_python.jsonl,0.556098,0.820543,
rust,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_base/humaneval_cpp_to_rust.jsonl,0.000000,0.000000,
cpp,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_base/humaneval_go_to_cpp.jsonl,0.782012,0.922202,
java,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_base/humaneval_go_to_java.jsonl,0.695122,0.901863,
js,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_base/humaneval_go_to_js.jsonl,0.765854,0.929674,
python,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_base/humaneval_go_to_python.jsonl,0.850000,0.979256,
rust,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_base/humaneval_go_to_rust.jsonl,0.000000,0.000000,
cpp,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_base/humaneval_java_to_cpp.jsonl,0.693293,0.899006,
go,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_base/humaneval_java_to_go.jsonl,0.450610,0.728824,
js,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_base/humaneval_java_to_js.jsonl,0.689939,0.925814,
python,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_base/humaneval_java_to_python.jsonl,0.759756,0.940484,
rust,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_base/humaneval_java_to_rust.jsonl,0.000000,0.000000,
cpp,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_base/humaneval_js_to_cpp.jsonl,0.799085,0.899812,
go,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_base/humaneval_js_to_go.jsonl,0.258537,0.622545,
java,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_base/humaneval_js_to_java.jsonl,0.227134,0.572617,
python,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_base/humaneval_js_to_python.jsonl,0.776524,0.931292,
rust,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_base/humaneval_js_to_rust.jsonl,0.000000,0.000000,
cpp,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_base/humaneval_python_to_cpp.jsonl,0.654268,0.878229,
go,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_base/humaneval_python_to_go.jsonl,0.563415,0.828777,
java,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_base/humaneval_python_to_java.jsonl,0.586280,0.843680,
js,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_base/humaneval_python_to_js.jsonl,0.735061,0.928091,
rust,/workspace/codegeex/benchmark/humaneval-x/python/evaluation_base/humaneval_python_to_rust.jsonl,0.000000,0.000000,
go,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_base/humaneval_rust_to_go.jsonl,0.547561,0.762133,
java,/workspace/codegeex/benchmark/humaneval-x/rust/evaluation_base/humaneval_rust_to_java.jsonl,0.862166,,
