language,input_file,pass@1,pass@1_se,pass@5,pass@5_se,pass@10,pass@10_se,pass@100,pass@100_se
go,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_9B_drgrpo_reward35b_think_100/humaneval_cpp_to_go.jsonl,0.779268,0.007317,0.890244,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_9B_drgrpo_reward35b_think_100/humaneval_cpp_to_java.jsonl,0.869512,0.007616,0.926829,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_9B_drgrpo_reward35b_think_100/humaneval_cpp_to_js.jsonl,0.881707,0.003109,0.914634,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_9B_drgrpo_reward35b_think_100/humaneval_cpp_to_python.jsonl,0.826829,0.006567,0.878049,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_9B_drgrpo_reward35b_think_100/humaneval_cpp_to_rust.jsonl,0.412195,0.013442,0.804878,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_9B_drgrpo_reward35b_think_100/humaneval_go_to_cpp.jsonl,0.793902,0.004045,0.896341,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_9B_drgrpo_reward35b_think_100/humaneval_go_to_java.jsonl,0.848780,0.009126,0.908537,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_9B_drgrpo_reward35b_think_100/humaneval_go_to_js.jsonl,0.942683,0.005316,0.969512,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_9B_drgrpo_reward35b_think_100/humaneval_go_to_python.jsonl,0.904878,0.004136,0.957317,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_9B_drgrpo_reward35b_think_100/humaneval_go_to_rust.jsonl,0.396341,0.024693,0.798780,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_9B_drgrpo_reward35b_think_100/humaneval_java_to_cpp.jsonl,0.845122,0.006278,0.908537,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_9B_drgrpo_reward35b_think_100/humaneval_java_to_go.jsonl,0.759756,0.010312,0.878049,0.000000,,,,
