language,input_file,pass@1,pass@1_se,pass@5,pass@5_se,pass@10,pass@10_se,pass@100,pass@100_se
go,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_drgrpo_reward35b_think_100/humaneval_cpp_to_go.jsonl,0.559756,0.016293,0.743902,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_drgrpo_reward35b_think_100/humaneval_cpp_to_java.jsonl,0.821951,0.004481,0.878049,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_drgrpo_reward35b_think_100/humaneval_cpp_to_js.jsonl,0.792683,0.006098,0.847561,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_drgrpo_reward35b_think_100/humaneval_cpp_to_python.jsonl,0.780488,0.001928,0.853659,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_drgrpo_reward35b_think_100/humaneval_cpp_to_rust.jsonl,0.398780,0.025769,0.768293,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_drgrpo_reward35b_think_100/humaneval_go_to_cpp.jsonl,0.725610,0.008181,0.853659,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_drgrpo_reward35b_think_100/humaneval_go_to_java.jsonl,0.786585,0.006952,0.871951,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_drgrpo_reward35b_think_100/humaneval_go_to_js.jsonl,0.869512,0.007368,0.926829,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_drgrpo_reward35b_think_100/humaneval_go_to_python.jsonl,0.881707,0.011177,0.951220,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_drgrpo_reward35b_think_100/humaneval_go_to_rust.jsonl,0.381707,0.015256,0.670732,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_drgrpo_reward35b_think_100/humaneval_java_to_cpp.jsonl,0.779268,0.005912,0.847561,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_drgrpo_reward35b_think_100/humaneval_java_to_go.jsonl,0.629268,0.008493,0.817073,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_drgrpo_reward35b_think_100/humaneval_java_to_js.jsonl,0.934146,0.002987,0.963415,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_drgrpo_reward35b_think_100/humaneval_java_to_python.jsonl,0.885366,0.005245,0.926829,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_drgrpo_reward35b_think_100/humaneval_java_to_rust.jsonl,0.369512,0.036361,0.762195,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_drgrpo_reward35b_think_100/humaneval_js_to_cpp.jsonl,0.760976,0.010093,0.865854,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_drgrpo_reward35b_think_100/humaneval_js_to_go.jsonl,0.651220,0.010976,0.798780,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_drgrpo_reward35b_think_100/humaneval_js_to_java.jsonl,0.819512,0.011342,0.884146,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_drgrpo_reward35b_think_100/humaneval_js_to_python.jsonl,0.878049,0.006098,0.914634,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_drgrpo_reward35b_think_100/humaneval_js_to_rust.jsonl,0.373171,0.019417,0.731707,0.000000,,,,
